NZCM -77.866667 166.966667 26
NZIR -77.866700 166.533300 0
NZPG -77.966700 166.516700 0
NZWD -77.883300 166.650000 39
SAYO -60.740299-044.742500 75
NPPG -14.333000-170.717000 30
SCPZ -80.318298-081.308098 2900
AAXX -67.566941-068.126993 -32805
SAYS -68.116699-067.099998 75
SCGC -79.777778-083.320833 2461
MKPA  17.133300-061.783300 62
MANU  17.116700-061.783300 33
TAPT  17.555599-061.765301 16
TAPH  17.635799-061.828602 16
ACCC -12.200000 096.866700 3
YSCB -35.300000 149.200000 1890
ASCB -35.300000 149.200000 1896
YPFT -30.833300 128.100000 525
YJBY -35.147202 150.697006 200
YACS -31.416700 141.899994 597
YADI -35.997799 148.796005 3346
YADY -35.983299 148.800003 3209
YPEC -33.066700 151.647995 3
YMAY -36.066700 146.950000 541
AMAY -36.066700 146.950000 541
YALN -30.383301 142.600006 390
YARL -34.366699 146.882996 600
YARM -30.533333 151.666667 3238
YASF -29.316700 151.050003 1516
YSBC -33.900000 150.733333 266
YASS -34.886700 149.014999 1624
YBNA -28.833333 153.550000 7
YBRN -34.633333 143.550000 200
YBAD -30.955000 149.091995 1017
YBBA -30.383301 150.600006 1614
YBTH -33.416667 149.650000 2434
YBEW -31.916700 144.632996 528
YBIK -34.166698 150.100006 2769
YBIA -29.799999 150.533005 978
YBGY -29.504999 150.192001 787
YBVL -31.583300 150.182999 1263
YBOG -30.716700 150.050003 748
YBMO -36.904999 149.182007 2415
YBOM -36.916698 149.167007 2438
YBCL -30.049999 149.417007 594
YBMI -28.733299 149.582993 600
YBKE -30.033000 145.950000 354
YBAO -35.450001 149.850006 2172
YBZA -31.316700 150.516998 935
YBRW -29.973900 146.817001 413
AABH -31.983300 141.466700 1033
YPBH -31.983333 141.466667 1033
YBHI -32.001400 141.472000 958
YBRJ -30.158300 148.975006 581
YBTT -31.358299 147.632996 541
YBYR -30.666700 146.399994 463
YCUR -35.926888 148.392548 5010
YCAA -33.403301 151.212006 676
YCDR -29.700000 151.700000 3478
ASCN -34.033300 150.683300 240
YSCN -34.033333 150.683333 230
YCMH -31.665001 152.742004 3
YCWW -33.542801 148.662994 1073
YCRA -30.458300 147.707993 131
YCAS -28.883333 153.050000 85
YCSI -32.002201 149.960999 1545
YCNK -32.783333 151.333333 210
YCLA -33.406899 143.940002 266
YCBA -31.538300 145.794006 725
YCDE -38.326666 143.056666 548
ASCH -30.316700 153.116700 16
YSCH -30.316667 153.116667 20
YCLY -34.799999 145.850006 384
YCBR -29.521700 148.582001 151
YCLT -34.883301 149.417007 2300
YWDR -34.938900 149.410004 2274
YCLM -29.453300 148.742996 518
YCNO -35.316700 145.117004 282
YCDO -33.064400 147.209000 650
YCAH -31.773300 149.610001 505
ASCM -36.233300 149.116700 2552
YSCM -36.233333 149.116667 2552
YCOM -36.300598 148.973999 3087
YCBB -31.332500 149.266998 2116
YCNM -30.983299 148.376007 604
YOOB -33.068298 151.460999 36
YCOB -33.058300 151.457993 30
YCNX -29.066700 150.766998 1106
YCTM -34.623901 148.028000 1109
YCNA -31.290800 141.451996 748
YCOR -35.994701 146.356995 469
YCWR -33.844700 148.649002 965
YCRL -34.500000 149.449997 2890
YCUA -33.278301 148.763001 492
YCUT -33.033298 142.016998 128
YDAL -34.566700 146.182999 371
YDNK -32.883301 143.582993 223
YDEG -37.061401 148.942001 2546
YDLQ -35.559399 144.945999 315
YDOC -32.650002 151.207993 56
ASDU -32.216700 148.574700 902
YSDU -32.216700 148.574700 902
YDNR -30.658100 150.875000 1391
YEES -32.599701 151.339996 112
YELR -32.616699 151.332993 43
YELG -31.850000 147.983002 709
YEGA -29.316700 145.832993 397
YEAB -33.116699 146.449997 489
YEUL -31.033300 148.175003 627
YEVD -29.093300 153.419998 20
YFVW -32.789001 148.720001 1286
YFDN -35.011700 147.373993 709
YFIL -35.666698 145.550003 325
YFBS -33.363602 147.934998 761
YFST -32.204201 152.479004 3
YGIL -31.703300 148.638001 322
YGLI -29.674999 151.688995 3432
YGLN -31.616699 148.199997 725
YGCR -32.049999 151.983002 361
YGDA -29.073299 147.376007 459
YGGO -31.316700 150.917007 1496
YXGS -33.368099 151.300003 853
YGLB -34.810299 149.725998 2142
YGFN -29.759399 153.029999 112
YGAH -30.125828 149.434570 617
YGTP -33.983299 148.417007 1257
YGTH -34.250801 146.067001 440
YGDH -30.961100 150.251007 863
YHRG -31.468800 147.895004 581
YHAE -34.557499 148.388001 1348
YHAY -34.531399 144.830002 305
YHCT -31.240299 151.432007 3537
YHLS -33.493301 145.522995 404
YHBK -35.683300 147.317001 266
YSHW -33.994999 150.951996 75
YHOX -33.909698 150.852005 135
YIVL -29.888300 151.143997 2667
YINO -29.766701 151.167007 2215
